FileName,Full_Path,Label_0.5,Label_0.8,Speech_prob,Mammal_prob,Silence_prob,Stream_prob,Aircraft_prob,Frog_prob,Cicada_prob,Insect_prob,Rain_prob,Wind_prob,Bird_prob,Owl_prob
GWB07_20250619_104500,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-003\GW_CheckAudio\GWB07_20250619_104500.wav,Cicada,Cicada,0.1375,0.002,0.0268,0.0047,0.017,0.0684,0.9553,0.1491,0.0008,0.001,0.0382,0.0043
GWU02_20250424_000000,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-005\GW_CheckAudio\GWU02_20250424_000000.wav,None,None,0.1199,0.0027,0.0329,0.049,0.0565,0.0047,0.2185,0.0281,0.0102,0.0395,0.0233,0.0026
GWU02_20250428_023000,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-005\GW_CheckAudio\GWU02_20250428_023000.wav,None,None,0.1748,0.003,0.0267,0.0446,0.0459,0.0091,0.1769,0.0572,0.0048,0.0542,0.0546,0.0057
GWU02_20250425_050000,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-005\GW_CheckAudio\GWU02_20250425_050000.wav,None,None,0.056,0.0031,0.0294,0.0547,0.0479,0.0067,0.0838,0.0916,0.0258,0.1319,0.0579,0.0063
GWU02_20250420_073000,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-001\GW_CheckAudio\GWU02_20250420_073000.wav,None,None,0.1478,0.0038,0.0484,0.0619,0.0568,0.013,0.0966,0.2732,0.0032,0.1213,0.0664,0.0089
GWU02_20250412_181500,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-006\GW_CheckAudio\GWU02_20250412_181500.wav,None,None,0.1658,0.0037,0.0557,0.059,0.0314,0.0271,0.2452,0.1211,0.0113,0.0614,0.0283,0.019
GWU02_20250422_214500,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-005\GW_CheckAudio\GWU02_20250422_214500.wav,None,None,0.3494,0.002,0.0272,0.0569,0.0637,0.0173,0.2686,0.1145,0.0054,0.0414,0.0461,0.0109
GWU02_20250524_030000,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-004\GW_CheckAudio\GWU02_20250524_030000.wav,None,None,0.4266,0.0047,0.0648,0.0259,0.0675,0.033,0.0985,0.2976,0.0161,0.0795,0.0436,0.023
GWU02_20250615_230000,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-003\GW_CheckAudio\GWU02_20250615_230000.wav,None,None,0.2409,0.0029,0.0346,0.0366,0.0687,0.01,0.2141,0.0802,0.0051,0.0909,0.0487,0.0057
GWU02_20250708_213000,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-002\GW_CheckAudio\GWU02_20250708_213000.wav,None,None,0.2542,0.0035,0.0352,0.0368,0.0502,0.0234,0.212,0.1301,0.007,0.0606,0.0458,0.016
GWU04_20250302_072900,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-008\GW_CheckAudio\GWU04_20250302_072900.wav,None,None,0.2857,0.0051,0.0698,0.0196,0.0544,0.0147,0.1998,0.1494,0.008,0.1134,0.1055,0.0065
GWU04_20250309_084500,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-008\GW_CheckAudio\GWU04_20250309_084500.wav,None,None,0.0958,0.0034,0.0226,0.0089,0.035,0.0034,0.2194,0.1342,0.006,0.1266,0.1954,0.002
GWU04_20250408_062900,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-006\GW_CheckAudio\GWU04_20250408_062900.wav,None,None,0.172,0.0079,0.1036,0.0453,0.0463,0.0449,0.1824,0.1769,0.0151,0.0468,0.1112,0.0293
GWU04_20250424_081500,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-005\GW_CheckAudio\GWU04_20250424_081500.wav,None,None,0.1374,0.0027,0.0185,0.0113,0.0478,0.0085,0.1374,0.3557,0.0018,0.2209,0.1379,0.0077
GWU04_20250424_141500,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-004\GW_CheckAudio\GWU04_20250424_141500.wav,None,None,0.3138,0.005,0.0538,0.0298,0.0379,0.0214,0.1567,0.1754,0.0059,0.072,0.0427,0.0187
GWU04_20250412_174500,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-006\GW_CheckAudio\GWU04_20250412_174500.wav,None,None,0.2263,0.005,0.0492,0.1029,0.0604,0.0253,0.0713,0.2521,0.017,0.0274,0.0597,0.0482
GWU05_20250412_100000,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-006\GW_CheckAudio\GWU05_20250412_100000.wav,None,None,0.2827,0.0065,0.0849,0.0717,0.0615,0.0408,0.1375,0.2004,0.0226,0.044,0.0289,0.052
GWU05_20250422_180000,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-005\GW_CheckAudio\GWU05_20250422_180000.wav,None,None,0.3473,0.0059,0.073,0.0731,0.0484,0.039,0.0901,0.3739,0.0047,0.1088,0.0589,0.0274
GW01_20250313_074500,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-008\GW_CheckAudio\GW01_20250313_074500.wav,None,None,0.1819,0.0052,0.0704,0.0487,0.0686,0.0218,0.2057,0.2028,0.0018,0.0589,0.111,0.0165
GW01_20250326_084500,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-007\GW_CheckAudio\GW01_20250326_084500.wav,Cicada,None,0.2282,0.0056,0.0509,0.0157,0.0193,0.0314,0.5668,0.1483,0.0239,0.0081,0.0559,0.0036
GW01_20250423_054500,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-005\GW_CheckAudio\GW01_20250423_054500.wav,None,None,0.1602,0.0047,0.0933,0.0218,0.0641,0.0273,0.3374,0.2302,0.0061,0.0782,0.0731,0.0163
GW01_20250425_061500,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-005\GW_CheckAudio\GW01_20250425_061500.wav,None,None,0.0959,0.003,0.0558,0.0192,0.0245,0.0171,0.4942,0.2294,0.0014,0.0683,0.1032,0.0045
GW01_20250427_081500,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-005\GW_CheckAudio\GW01_20250427_081500.wav,None,None,0.1388,0.0052,0.0372,0.0062,0.0152,0.0283,0.136,0.2776,0.0015,0.0887,0.1287,0.0032
GW01_20250408_110000,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-006\GW_CheckAudio\GW01_20250408_110000.wav,Cicada,None,0.0452,0.0096,0.0044,0.0071,0.0304,0.0544,0.5136,0.264,0.0052,0.003,0.0279,0.0005
GW01_20250516_053000,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-004\GW_CheckAudio\GW01_20250516_053000.wav,None,None,0.059,0.0021,0.023,0.0055,0.0184,0.0047,0.2626,0.3122,0.0056,0.2645,0.2186,0.0027
GW01_20250524_070000,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-004\GW_CheckAudio\GW01_20250524_070000.wav,None,None,0.0768,0.0029,0.0182,0.0183,0.0436,0.0084,0.1129,0.3999,0.0009,0.2766,0.152,0.0024
GW01_20250513_074500,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-004\GW_CheckAudio\GW01_20250513_074500.wav,None,None,0.1017,0.0045,0.0745,0.0149,0.0556,0.0178,0.2382,0.2228,0.0041,0.0209,0.1518,0.0029
GW01_20250510_081500,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-005\GW_CheckAudio\GW01_20250510_081500.wav,None,None,0.1181,0.0027,0.0315,0.0073,0.0312,0.0095,0.3129,0.0718,0.0375,0.0184,0.1164,0.0027
GW01_20250601_044500,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-004\GW_CheckAudio\GW01_20250601_044500.wav,None,None,0.0551,0.0026,0.0305,0.0039,0.0377,0.0047,0.2669,0.1978,0.0004,0.0318,0.1518,0.0006
GW01_20250612_044500,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-003\GW_CheckAudio\GW01_20250612_044500.wav,None,None,0.0428,0.0027,0.0214,0.005,0.0167,0.0076,0.3506,0.1352,0.0004,0.0645,0.0897,0.0009
GW01_20250619_063000,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-003\GW_CheckAudio\GW01_20250619_063000.wav,None,None,0.1151,0.0047,0.0301,0.0156,0.0187,0.0094,0.1219,0.1,0.0036,0.0472,0.2452,0.0014
